SupplierTitle,AmazonTitle,match_type,EAN,EAN_OnPage,ASIN,bought_in_past_month,NetProfit,ROI,SellingPrice_incVAT,SupplierPrice_exVAT,bucket,inclusion_reason,confidence,verification_status,title_similarity,asin_product_count,supplier_category,SupplierURL,AmazonURL,ProfitMargin,Breakeven,fba_seller_count,fbm_seller_count,total_offer_count,validation_required,priority
SOZALI AIRTIGHT ROUND FOOD CONTAINER CLIP & CLOSE 900ML,"VLAND Rear Lights for Mini Cooper F55 F56 F57 2014-2021 Union Jack Tail Lights Assembly with Dynamic Signal,None Fog Light (Black-Smoked)",T2,5060082721670,,B0BWRN1LJN,,151.77625,9254.649390243903,219.99,1.09,B,"Strong absolute profit (>5 GBP); High ROI (9255%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/sozali-airtight-round-food-container-clip-close-900ml-116028,https://www.amazon.co.uk/dp/B0BWRN1LJN,82.79080867312149,37.8585,,,,YES,MEDIUM
DELUXE BBQ CLEANING BRUSH 2 IN1 23CM,"CCTV Tester, IPC-5200C Plus 5 Inch IPS Touch Screen IP CVBS Analog Camera Tester 4K H.265 Video Monitor with HDMI Input/POE/WiFi/Cable Tracker/TVI CVI AHD/Firmware Upgraded",T2,8711252347783,,B089NSF2NP,,221.14833333333337,9214.513888888889,319.0,1.85,B,"Strong absolute profit (>5 GBP); High ROI (9215%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/deluxe-bbq-cleaning-brush-2-in1-23cm,https://www.amazon.co.uk/dp/B089NSF2NP,83.19059561128526,53.622,,,,YES,MEDIUM
PEARLESCENT BAUBLE MASON JAR,VLAND Tail Lights for Mini Cooper R56 R57 R58 R59 2007-2013 Rear Lights Lamp Assembly With Sequential Indicator and Welcome Lights (Red),T2,5050565802392,,B0BWJQSD1F,,145.86833333333334,9060.144927536232,208.99,1.06,B,"Strong absolute profit (>5 GBP); High ROI (9060%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/pearlescent-bauble-mason-jar-117338,https://www.amazon.co.uk/dp/B0BWJQSD1F,83.75616058184602,33.948,,,2.0,YES,MEDIUM
SIL CRAFT STICKERS JEWEL,PEDAL COMMANDER for Porsche Macan 2015+ - Throttle Response Controller to Help Reduce Accelerator Lag - 4 Driving Modes + App Control - Performance Mods Upgrades - Macan Accessories,T3,5024418188957,,B0848C38JL,,140.41033333333334,9012.21651690201,199.99,1.008,B,"Strong absolute profit (>5 GBP); High ROI (9012%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,4,unknown,https://www.efghousewares.co.uk/sil-craft-stickers-jewel,https://www.amazon.co.uk/dp/B0848C38JL,84.25041252062603,31.4976,,,1.0,YES,MEDIUM
HOBBY GRAND STORAGE BOX & LID 1 LTR,"Triton Style 3 9.5kW Electric Shower - Black Gloss (Aspirante, Collection 2)",T2,8694064014862,,B09GYWDZ47,,130.00791666666666,8966.063218390804,188.99,0.9,B,"Strong absolute profit (>5 GBP); High ROI (8966%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/hobby-grand-storage-box-lid-1-ltr,https://www.amazon.co.uk/dp/B09GYWDZ47,82.54907667072331,32.9805,,,1.0,YES,MEDIUM
CANDLE WAX 8 MELTS ASS FRAGRANCE,PEDAL COMMANDER for Jeep Wrangler JK 2007-2018 X Sahara Rubicon Willys Wheeler Black Edition 2.8L 3.6L 3.8L Petrol Diesel - Throttle Response Controller,T2,5050565512604,,B07MDXZPTC,,137.69158333333334,8837.713949507915,199.99,1.008,B,"Strong absolute profit (>5 GBP); High ROI (8838%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,1,unknown,https://www.efghousewares.co.uk/candle-wax-8-melts-ass-fragrance-24-3-,https://www.amazon.co.uk/dp/B07MDXZPTC,82.6190809540477,34.7601,,,,YES,MEDIUM
MR CANDY SWRIL LOLLY APPLE DESSERT,PEDAL COMMANDER for Porsche Macan 2015+ - Throttle Response Controller to Help Reduce Accelerator Lag - 4 Driving Modes + App Control - Performance Mods Upgrades - Macan Accessories,T3,5050565596192,,B0848C38JL,,137.69158333333334,8837.713949507915,199.99,1.008,B,"Strong absolute profit (>5 GBP); High ROI (8838%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,4,unknown,https://www.efghousewares.co.uk/mr-candy-swril-lolly-apple-dessert-108313,https://www.amazon.co.uk/dp/B0848C38JL,82.6190809540477,34.7601,,,,YES,MEDIUM
PLAIN CERAMIC MUG WHITE WITH BLACK RIM 275ML,Mammut Women Nova Iv Mid GTX Hiking Shoe,T1,5059331102445,7619876085467.0,B096SQ3CX6,,94.97166666666666,8633.787878787878,145.79,0.55,B,"Strong absolute profit (>5 GBP); High ROI (8634%); Higher price point, possible demand; EAN-confirmed match",HIGH,VERIFIED,0.0,1,unknown,https://www.efghousewares.co.uk/plain-ceramic-mug-white-with-black-rim-275ml-110858,https://www.amazon.co.uk/dp/B096SQ3CX6,78.1713423417244,31.824,,,8.0,NO,HIGH
SOZALI AIRTIGHT 1.5LTR FOOD BOX,"VLAND Rear Lights for Mini Cooper F55 F56 F57 2014-2021 Union Jack Tail Lights Assembly with Dynamic Signal,None Fog Light (Black-Smoked)",T2,5060082721434,,B0BWRN1LJN,,151.57625000000002,8237.839673913044,219.99,1.29,B,"Strong absolute profit (>5 GBP); High ROI (8238%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/sozali-airtight-1-5ltr-food-box,https://www.amazon.co.uk/dp/B0BWRN1LJN,82.6817128051275,38.0985,,,,YES,MEDIUM
BRIGHT & HOMELY STAINLESS STEEL SCOURER 6 PIECES,OLEVS Men Automatic Watch Skeleton 5 Hands Mechanical Classic Luxury Multi Calendar Stainless Steel Waterproof Wrist Watch for Men,T3,5050796011761,,B0B5D4LCY8,,90.11,8191.818181818181,138.0,0.55,B,"Strong absolute profit (>5 GBP); High ROI (8192%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.125,7,unknown,https://www.efghousewares.co.uk/bright-homely-stainless-steel-scourer-6-pieces-121531,https://www.amazon.co.uk/dp/B0B5D4LCY8,78.35652173913044,29.868,,,1.0,YES,MEDIUM
FESTIVE MAGIC LIGHT UP LED CAND CANE 75CM,"VANTRUE E360 ACE 5.2K Dash Cam Panoramic, 3 Channel Dashcam Wide Angle 210°, Dash Camera 1944P+1944P+1080P Front Rear inside, STARVIS 2, Night Vision, 5G WiFi GPS, HDR, 24H Parking Mode, Support 512GB",T2,4894158063897,,B0DK3N1Q4V,,181.6,8143.497757847533,245.64,1.68,B,"Strong absolute profit (>5 GBP); High ROI (8143%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/festive-magic-light-up-led-cand-cane-75cm-73628,https://www.amazon.co.uk/dp/B0DK3N1Q4V,88.71519296531508,27.72,,,1.0,YES,MEDIUM
FESTIVE MAGIC BIG BELLY MOUSE GREY 30CM,"VANTRUE E360 ACE 5.2K Dash Cam Panoramic, 3 Channel Dashcam Wide Angle 210°, Dash Camera 1944P+1944P+1080P Front Rear inside, STARVIS 2, Night Vision, 5G WiFi GPS, HDR, 24H Parking Mode, Support 512GB",T2,4894158135266,,B0DK3N1Q4V,,181.6,8143.497757847533,245.64,1.68,B,"Strong absolute profit (>5 GBP); High ROI (8143%); Higher price point, possible demand; Match needs validation",MEDIUM,VALIDATION_REQUIRED,0.0,2,unknown,https://www.efghousewares.co.uk/festive-magic-big-belly-mouse-grey-30cm-116280,https://www.amazon.co.uk/dp/B0DK3N1Q4V,88.71519296531508,27.72,,,1.0,YES,MEDIUM
