EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,MatchMethod,Confidence,CreatedAt,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5.06E+12,,B09B55VVB6,Fitstyle Dumbbell 4kg Assorted Colours,"Dezzer Acrylic Display Case Box with Black Base, Assemble Countertop Clear Acrylic Dustproof Protection Showcase for Action Figures Toys, Collectibles, Home Storage (30x20x20cm)",https://www.poundwholesale.co.uk/fitstyle-dumbbell-4kg-assorted-colours,https://www.amazon.co.uk/dp/B09B55VVB6,EAN,high,2025-08-24T10:55:49.618283,50,Available (see Keepa data),,1,5.928,4.94,17.99,2.7,2.7,0.55,2.998333333,2.178,11.51,0.820333333,4.101666667,0.747115968,13.068,27.35964425
5.06E+12,,B0D6GJ249Z,Vibe 1Amp iPhone Car Charger,"[Apple MFi Certified] iPhone 16 Fast Car Charger, Rombica 3-Port 67W USB-C&USB-A Car Power Cigarette Lighter PD/QC Type-C Fast Charging + Type-C Braided Cable for iPhone 16 Pro Max/15 Pro/Galaxy/Pixel",https://www.poundwholesale.co.uk/iphone-car-charger-1amp,https://www.amazon.co.uk/dp/B0D6GJ249Z,title,medium,2025-08-02T15:10:12.253792,200,Available (see Keepa data),,1,1.632,1.36,8.42,1.26,2.42,0.55,1.403333333,1.118,4.004,0.285333333,1.426666667,0.746945899,6.708,20.33254157
5.05E+12,,B0DCHY45CK,Bettina 'Clean And Spray' Spray Mop 125cm,"Spray Mop Hardwood Floor Mops for Cleaning - Dry Wet Microfibre Floor Cleaning Mop with 3 Washable Reusable Pads Refills, Wet Spray Mop Refillable Dust Flat Mop for Wood Laminate Tile Floors",https://www.poundwholesale.co.uk/bettina-clean-and-spray-spray-mop,https://www.amazon.co.uk/dp/B0DCHY45CK,title,medium,2025-07-25T17:39:00.975014,100,,,,6.18,5.15,17.99,2.24875,2.8,0.55,2.998333333,2.14975,11.9315,0.848583333,4.242916667,0.744371345,12.8985,28.30183435
5.04E+12,,B09H7NNBDB,Prima Rubber & PP Greekey Moulded Door Mat 40 X 60cm Assorted,"BLADO Door Mat Barrier Mat Non Slip Rubber Mats Washable Light Weight Heavy Duty | Floor Mats Kitchen Rugs Dirt Trapper Doormat Entrance Rug Shoes Scraper Super Absorbent Carpet (40cm x 60cm, Blue)",https://www.poundwholesale.co.uk/prima-rubber-pp-greekey-moulded-door-mat-40-x-60cm-assorted,https://www.amazon.co.uk/dp/B09H7NNBDB,title,medium,2025-07-29T07:15:31.062965,,Available (see Keepa data),Available (see Keepa data),2,2.352,1.96,10.88,1.63,3.06,0.55,1.813333333,1.44,5.252,0.373333333,1.866666667,0.743691899,8.64,20.58823529
5.01E+12,,B0BYB9WQFN,Doff Lightweight Container & Basket Compost 15l,Doff Lightweight Container & Basket Compost â€“ Expands 15L Peat-Free Plant Feed & Garden Fertiliser â€“ Coco Coir Compost Enriched with Fertiliser â€“ Indoor & Outdoor Plants,https://www.poundwholesale.co.uk/doff-lightweight-container-basket-compost-15l,https://www.amazon.co.uk/dp/B0BYB9WQFN,EAN,high,2025-07-29T12:04:40.954456,,,,,1.308,1.09,7.99,0.99875,2.8,0.55,1.331666667,1.08775,3.4315,0.243916667,1.219583333,0.743648374,6.5265,18.31664581
5.05E+12,5.05E+12,B08T7R9KDP,Smart Choice Large Dog Collar 50cm-60cm Assorted Colours,Smart choice dog collar,https://www.poundwholesale.co.uk/smart-choice-large-dog-collar-50cm-60cm-assorted-colours,https://www.amazon.co.uk/dp/B08T7R9KDP,EAN,high,2025-07-24T11:38:08.145758,,,Available (see Keepa data),2,1.104,0.92,7.57,0.94625,2.8,0.55,1.261666667,1.04325,3.0745,0.218416667,1.092083333,0.742913832,6.2595,17.31175694
5.06E+12,7.79E+11,B0CCVZYVBS,Rapide Roof & Gutter White Sealant Cartridge 260ml,"Paw Patrol, Marshallâ€™s Fire Engine, Toy Truck with Collectible Action Figure, Sustainably Minded Kidsâ€™ Toys for Boys & Girls Aged 3 and Up",https://www.poundwholesale.co.uk/rapide-roof-gutter-white-sealant-cartridge-260ml,https://www.amazon.co.uk/dp/B0CCVZYVBS,EAN,high,2025-08-07T05:04:12.268694,200,Available (see Keepa data),Available (see Keepa data),11,1.008,0.84,7.49,1.12,2.7,0.55,1.248333333,1.042,2.906,0.206333333,1.031666667,0.742206235,6.252,16.52870494
8.72E+12,,B0DFW3PP68,Cif Eucalyptus Cream Cleaner 750ml,"Pressure Relief Valve for Triton 6Pcs, Mellbree PRD Disc Seals Cover Valve Shower Spares Parts Compatible with Triton Electric Showers",https://www.poundwholesale.co.uk/cif-eucalyptus-cream-cleaner-750ml,https://www.amazon.co.uk/dp/B0DFW3PP68,none,0,2025-07-24T02:31:42.184622,300,Available (see Keepa data),,1,1.236,1.03,5.99,0.78,1.46,0.55,0.998333333,0.764,3.302,0.234333333,1.171666667,0.741561181,4.584,23.47245409
8.72E+12,,B0DFW3PP68,Cif Eucalyptus Cream Cleaner 750ml,"Pressure Relief Valve for Triton 6Pcs, Mellbree PRD Disc Seals Cover Valve Shower Spares Parts Compatible with Triton Electric Showers",https://www.poundwholesale.co.uk/cif-eucalyptus-cream-cleaner-750ml,https://www.amazon.co.uk/dp/B0DFW3PP68,EAN_cached,low,2025-08-03T15:14:07.714970,300,Available (see Keepa data),,1,1.236,1.03,5.99,0.78,1.46,0.55,0.998333333,0.764,3.302,0.234333333,1.171666667,0.741561181,4.584,23.47245409
5.06E+12,5.05E+12,B0CTCSZD1T,Auto Extreme Microfibre Wheel Wash Brush 46cm,"Xtremeauto Soft Head Alloy Wheel Brush - Car Alloy Wheel Cleaner Brush Detailing Cleaning Brush, No Metal Non Scratch Rim Car Wheel Brush Perfect For Motorcycle, Cars & Bicycles (Orange",https://www.poundwholesale.co.uk/auto-extreme-microfibre-wheel-wash-brush-46cm,https://www.amazon.co.uk/dp/B0CTCSZD1T,none,0,2025-08-22T22:06:20.723914,300,Available (see Keepa data),Available (see Keepa data),2,3.348,2.79,12.99,1.95,3.06,0.55,2.165,1.67,6.978,0.495,2.475,0.741017964,10.02,22.86374134
