EAN,EAN_OnPage,ASIN,SupplierTitle,AmazonTitle,SupplierURL,AmazonURL,MatchMethod,Confidence,CreatedAt,bought_in_past_month,fba_seller_count,fbm_seller_count,total_offer_count,SupplierPrice_incVAT,SupplierPrice_exVAT,SellingPrice_incVAT,ReferralFee,FBAFee,PrepHouseFee,OutputVAT,InputVAT,NetProceeds,HMRC,NetProfit,ROI,Breakeven,ProfitMargin
5055319551021,5056587008200,B0CD7M7BNY,Rapide Mahogany Gloss Varnish 170ml,GUARD YV - Yacht Varnish Clear High Gloss Interior & Exterior For Wood Marine and Boats (5 Litre),https://www.poundwholesale.co.uk/rapide-mahogany-gloss-varnish-170ml,https://www.amazon.co.uk/dp/B0CD7M7BNY,title,medium,2025-08-24T17:30:21.491887,,,Available (see Keepa data),1.0,0.804,0.67,54.95,6.86875,2.8,0.55,9.158333333333335,2.17775,43.347500000000004,6.980583333333335,34.90291666666667,2860.894808743169,13.0665,76.221110100091
5055319555869,5060803013541,B09GMQ1BHK,Auto Extreme Professional Engine Degreaser And Cleaner Spray 300ml (Expired Stock 2017),HLS Supplies DG-15 20L Degreaser Cleaner - Degreaser Kitchen Heavy Duty,https://www.poundwholesale.co.uk/auto-extreme-professional-engine-degreaser-and-cleaner-spray-300ml,https://www.amazon.co.uk/dp/B09GMQ1BHK,title,medium,2025-08-24T17:41:40.754988,,,Available (see Keepa data),1.0,0.432,0.36,30.99,3.87375,2.8,0.55,5.165000000000001,1.51675,22.981499999999997,3.648250000000001,18.24125,2004.5329670329672,9.1005,70.63407550822846
5055319552394,,B0CKX1FG7P,Mean Machine Auto Spray Silver Wheel 300ml,"Cliselda Acrylic Display Case with Black Base, Assemble Acrylic Display Box, Acrylic Box Curiosity Cube Plastic Dustproof Showcase for Display Collectible Action Figures Toys (20x20x30 cm)",https://www.poundwholesale.co.uk/mean-machine-auto-spray-silver-wheel-300ml,https://www.amazon.co.uk/dp/B0CKX1FG7P,EAN,high,2025-08-24T17:33:19.268776,,Available (see Keepa data),,1.0,0.78,0.65,26.99,4.05,3.26,0.55,4.498333333333333,1.702,18.218,2.796333333333333,13.981666666666667,1165.138888888889,10.212,62.16376435716933
5055319573573,,B0CKX1FG7P,Sewing Machine Oil 150ml,"Cliselda Acrylic Display Case with Black Base, Assemble Acrylic Display Box, Acrylic Box Curiosity Cube Plastic Dustproof Showcase for Display Collectible Action Figures Toys (20x20x30 cm)",https://www.poundwholesale.co.uk/sewing-machine-oil-150ml,https://www.amazon.co.uk/dp/B0CKX1FG7P,EAN,high,2025-08-24T17:42:36.353100,,Available (see Keepa data),,1.0,0.804,0.67,26.99,4.05,3.26,0.55,4.498333333333333,1.706,18.218,2.792333333333333,13.961666666666668,1144.3989071038252,10.235999999999999,62.07484253427196
5055319517584,5056399119491,B08VDSMQ7W,All Purpose Wood Colour Mahogany Dark Oak Spray Paint 400ml,"HOMCOM Display Cabinet Case for Home Office, 60x80cm, Black and White",https://www.poundwholesale.co.uk/all-purpose-wood-colour-dark-oak-spray-paint-400ml-tough-and-durable-finish-long-lasting,https://www.amazon.co.uk/dp/B08VDSMQ7W,EAN,high,2025-08-24T17:38:33.414220,,,Available (see Keepa data),1.0,1.7999999999999998,1.5,39.99,6.0,7.07,0.55,6.665000000000001,3.0240000000000005,24.306000000000004,3.6410000000000005,18.205000000000002,888.0487804878051,18.144000000000002,54.62865716429107
5019702951744,,B0FGNVDF59,Rapide Easy Grease 200ml,"5220FR2075L, 5220FR2006H Water Inlet Valve, Washing Machine Cold and Hot Side Water Valve Set, Compatible with 5221ER1003A 5221ER1003C",https://www.poundwholesale.co.uk/rapide-easy-grease-200ml,https://www.amazon.co.uk/dp/B0FGNVDF59,EAN,high,2025-08-24T17:43:22.702259,,,Available (see Keepa data),1.0,0.78,0.65,17.99,2.7,2.94,0.55,2.9983333333333335,1.3680000000000003,11.221999999999998,1.6303333333333332,8.151666666666664,679.3055555555552,8.208,54.3746525847693
5055319517477,,B0CKX1FG7P,"All Purpose Nato Green Spray Paint 400ml (Metal,Wood And Plastic)","Cliselda Acrylic Display Case with Black Base, Assemble Acrylic Display Box, Acrylic Box Curiosity Cube Plastic Dustproof Showcase for Display Collectible Action Figures Toys (20x20x30 cm)",https://www.poundwholesale.co.uk/all-purpose-nato-green-spray-paint-400ml-metal-wood-and-plastic,https://www.amazon.co.uk/dp/B0CKX1FG7P,EAN,high,2025-08-24T17:40:53.983007,,Available (see Keepa data),,1.0,1.7999999999999998,1.5,26.99,4.05,3.26,0.55,4.498333333333333,1.8719999999999999,18.218,2.626333333333333,13.131666666666668,640.5691056910571,11.232,58.38458688403113
5055319598101,5055319598101,B075FXJ9DL,Paint Factory Creative Enamel Paint Black Gloss 200ml,"Temporary Hair Colour - 6 cans BLUE,PURPLE,GREEN,SILVER,GOLD AND RED (1 Each Colour)",https://www.poundwholesale.co.uk/enamel-paint-black-gloss-250ml,https://www.amazon.co.uk/dp/B075FXJ9DL,EAN,high,2025-08-24T17:33:58.883133,,,Available (see Keepa data),3.0,0.804,0.67,12.9,1.6125,2.8,0.55,2.1500000000000004,1.1264999999999998,7.605000000000001,1.0235000000000005,5.117500000000001,419.46721311475403,6.7589999999999995,47.6046511627907
5055319557054,5055319557054,B008DV3MIU,Guard And Pride Teak Oil Protects And Enhances All Exterior Hardware Spray 250ml (Ideal For Outdoor Furniture),250ml Teak Oil Exterior Hardwood/Softwood Garden Furniture Spray Can protection,https://www.poundwholesale.co.uk/guard-and-pride-teak-oil-protects-and-enhances-all-exterior-hardware-spray-250ml-ideal-for-outdoor-furniture,https://www.amazon.co.uk/dp/B008DV3MIU,EAN,high,2025-08-24T17:37:00.973364,,,Available (see Keepa data),1.0,0.804,0.67,10.99,1.37375,2.8,0.55,1.8316666666666668,1.07875,5.9815000000000005,0.7529166666666667,3.7645833333333334,308.57240437158464,6.472499999999999,41.10555050045496
15055319571323,,B0FKGP29QV,Paint Factory Blackboard Black Spray Paint 250ml,Side Handle Rotary Hammer Replacement Part Compatible for Bosch 11311EVS MH10-SE GSH 11E Power Tool Accessory Black,https://www.poundwholesale.co.uk/paint-factory-household-blackboard-paint-250ml,https://www.amazon.co.uk/dp/B0FKGP29QV,EAN,high,2025-08-24T17:36:21.928610,,,Available (see Keepa data),1.0,0.804,0.67,8.05,1.00625,2.8,0.55,1.341666666666667,1.00525,3.482500000000001,0.33641666666666703,1.6820833333333338,137.8756830601093,6.0315,25.074534161490686
